dataset_id,n,Q2,MAE,RMSE
0048,213,0.7640238449977109,1.5608022104182715,1.8195381988171193
0063,443,0.4599583968962946,1.1468398874338808,1.496157151360893
0186,3700,-1.1026951691080789,5.483479271603489,5.884234770602862
0187,224,0.8504769706412686,1.4022027087050273,1.6543590261756167
0188,221,0.8901264746180501,1.084212204080971,1.3320298873744494
0228,269,0.15044946364427736,2.3600998270112785,2.781974501747586
0230,471,-0.2911923121722091,2.646444432940959,3.074300769851706
0262,276,-2.067848159199664,6.133611915524292,7.074978053785833
0263,273,-4.042198838354864,7.743873806265617,8.184538760848426
0264,235,-0.17778251273183443,1.566820507345519,1.8934743816744208
0382,483,0.47236654552868373,1.932383593328251,2.3574144628021667
0383,422,0.49544020576935466,1.9946172531408155,2.403493098243205
0390,2256,-0.9940083649825888,1.4454727995099752,1.771144301168381
0391,2889,-8.605781762504712,3.7131248650537305,3.9783952799297615
0392,356,0.2691896506248451,2.006947460044407,2.2259263559955973
0401,235,0.5896697221988769,0.6833550469039588,0.9356347009953329
0402,257,0.675004289471125,0.39908701405930963,0.6096931024554951
0403,288,0.7603473064440379,0.3688843351710174,0.5659187979628448
0436,329,0.4453163956867976,2.1277003453785164,2.521398310618299
0437,241,0.35095232869434634,2.2025828940404053,2.7532955236505368
