feature,gain
RDKit_MolLogP,2.0858414983328375
RDKit_SlogP_VSA5,0.734363366230488
RDKit_PEOE_VSA6,0.6871848651846405
RDKit_NumAromaticCarbocycles,0.5898878051492434
RDKit_VSA_EState7,0.5404404566837686
RDKit_fr_benzene,0.20916726070158498
RDKit_MolMR,0.19915937259196376
RDKit_Chi0v,0.11691690095300203
Morgan_1844,0.11158293881748468
RDKit_EState_VSA7,0.10230964152222455
RDKit_SlogP_VSA6,0.08319826091591206
RDKit_SMR_VSA7,0.08254972719318655
RDKit_fr_allylic_oxid,0.08163000877034154
Morgan_1380,0.0799041075846727
RDKit_EState_VSA6,0.07958474091398285
RDKit_PEOE_VSA7,0.07837937847052623
RDKit_fr_halogen,0.07778214059959679
RDKit_fr_piperdine,0.07477986604907716
RDKit_NHOHCount,0.07208140268026157
RDKit_VSA_EState8,0.06254070935640861
RDKit_PEOE_VSA14,0.057539629989910045
RDKit_fr_NH2,0.05261620593643743
RDKit_SlogP_VSA4,0.045703344496404084
Morgan_1017,0.0444181480942449
RDKit_PEOE_VSA12,0.04426596117467904
RDKit_NumHDonors,0.04120649995709447
RDKit_SMR_VSA5,0.04085207272476517
RDKit_SMR_VSA3,0.03918918334336778
RDKit_NumAromaticRings,0.038651597985121626
RDKit_NumHeterocycles,0.03864053784478726
RDKit_fr_NH0,0.03627957167608502
Morgan_226,0.03617601534347925
Morgan_1480,0.03607803575960277
RDKit_VSA_EState6,0.033382936940093325
Morgan_14,0.033182556707084546
RDKit_fr_C_O,0.031982556688975365
RDKit_NumRotatableBonds,0.031706071686956855
Morgan_1854,0.03162617125658367
RDKit_EState_VSA10,0.03149899532354543
Morgan_479,0.030301359456097812
Morgan_875,0.029849843616478102
RDKit_NumAliphaticHeterocycles,0.029653924942963497
Morgan_935,0.0288119435577796
RDKit_fr_aryl_methyl,0.0287035150694976
Morgan_786,0.028693333214692085
RDKit_Chi4n,0.026651471008786776
RDKit_EState_VSA1,0.02638489700342493
Morgan_1120,0.025988130684559182
RDKit_SMR_VSA2,0.025921975044506204
Morgan_598,0.025861525387039345
RDKit_LabuteASA,0.025373392204369183
Morgan_1917,0.025250930117671856
Morgan_695,0.024457425192623415
RDKit_fr_imidazole,0.024199823331858984
Morgan_1582,0.023930959860875244
RDKit_NumBridgeheadAtoms,0.023790304855645587
Morgan_524,0.023121675146111065
RDKit_NOCount,0.022900127523497193
RDKit_RingCount,0.022570544839675293
RDKit_fr_Al_OH_noTert,0.02247273244448446
RDKit_EState_VSA9,0.022471447211265764
RDKit_EState_VSA4,0.021889205548202544
Morgan_167,0.020850264350440677
RDKit_MaxAbsPartialCharge,0.020758167611154215
RDKit_HallKierAlpha,0.02075342738081042
Morgan_389,0.020016901069723442
Morgan_16,0.019574373877748075
RDKit_fr_C_O_noCOO,0.019373239236351224
Morgan_1163,0.019226368379285333
Morgan_435,0.01850172390063835
Morgan_1873,0.018500739036462963
RDKit_TPSA,0.018325282350157283
RDKit_Chi1v,0.018140200327573065
Morgan_592,0.018018541299203467
Morgan_1171,0.01793639142893772
Morgan_1724,0.017880570079795113
RDKit_fr_ketone,0.01766894012179008
RDKit_SMR_VSA10,0.016212948879942315
RDKit_VSA_EState10,0.016180054566990003
RDKit_FpDensityMorgan3,0.015758753669121783
RDKit_fr_quatN,0.015334458481686656
Morgan_318,0.01533049329934497
Morgan_593,0.015060527165431586
Morgan_409,0.014539649381681667
Morgan_1907,0.014418234442296252
Morgan_1535,0.014098996130778788
Morgan_475,0.014096792242122833
Morgan_1267,0.013734804489564708
RDKit_VSA_EState9,0.01363305546156615
RDKit_SMR_VSA1,0.013631113031330806
Morgan_486,0.013595248153434433
Morgan_385,0.012881792444000622
RDKit_fr_Al_OH,0.012844527674063348
