dataset,feature_space,model,Q2,MAE,RMSE
0390,Basic,RF,0.8673599006077725,0.3005489446248542,0.47172984147833064
0390,Basic,ExtraTrees,0.8617181907305507,0.2913513378573401,0.4816576447797617
0390,Basic,XGBoost,0.8723659822740982,0.30053925665829745,0.4627422472176743
0390,Basic,LightGBM,0.8747902019102988,0.29901851409697855,0.4583266269245166
0390,Extended,RF,0.8705106799279507,0.2977220659539021,0.46609334966519217
0390,Extended,ExtraTrees,0.8631508247288822,0.2888580985964001,0.47915610215476373
0390,Extended,XGBoost,0.8758307664344213,0.2941567378990617,0.4564181763067915
0390,Extended,LightGBM,0.8796835903180198,0.28750408731347304,0.44928132098234413
